operation,from_user,to_users_count,resource,latency,num_contexts
share,user_6,5,/scratch/user_6,0.12546992400166346,8
share,user_19,5,/scratch/user_19,0.13575014999878476,8
share,user_4,15,/scratch/user_4,0.1524833289986418,9
share,user_88,5,/scratch/user_88,0.15912295000089216,9
share,user_41,3,/scratch/user_41,0.12997332499799086,9
share,user_7,8,/scratch/user_7,0.13009665999925346,8
share,user_1,10,/scratch/user_1,0.11859842600097181,10
share,user_9,7,/scratch/user_9,0.14312669199716765,10
share,user_25,10,/scratch/user_25,0.14842109700111905,10
share,user_63,12,/scratch/user_63,0.13555085699772462,11
share,user_10,14,/scratch/user_10,0.1542879640001047,10
share,user_61,4,/scratch/user_61,0.16434893800033024,10
share,user_5,12,/scratch/user_5,0.1275687689994811,11
share,user_2,8,/scratch/user_2,0.3435829180016299,11
share,user_8,15,/scratch/user_8,0.1304106609968585,10
share,user_6,8,/scratch/user_6,0.13933979499779525,10
share,user_3,12,/scratch/user_3,0.1422910609981045,10
share,user_4,3,/scratch/user_4,0.15022993999809842,11
share,user_88,14,/scratch/user_88,0.12240082299831556,10
share,user_41,3,/scratch/user_41,0.12244636399918818,11
share,user_7,4,/scratch/user_7,0.13891183299710974,11
share,user_1,11,/scratch/user_1,0.13096157999825664,11
share,user_9,12,/scratch/user_9,0.11935263900159043,11
share,user_25,6,/scratch/user_25,0.22042154800146818,11
share,user_10,5,/scratch/user_10,0.13364747000014177,11
share,user_61,11,/scratch/user_61,0.14385986200068146,10
share,user_5,6,/scratch/user_5,0.13258663099986734,10
share,user_2,10,/scratch/user_2,0.1393335440006922,10
share,user_8,6,/scratch/user_8,0.1232187019995763,10
share,user_6,15,/scratch/user_6,0.13982121300068684,10
share,user_19,2,/scratch/user_19,0.1422423100011656,10
share,user_3,2,/scratch/user_3,0.14363573499940685,10
share,user_4,11,/scratch/user_4,0.1538424179998401,10
share,user_88,16,/scratch/user_88,0.1289106090007408,10
share,user_27,1,/scratch/user_27,0.1817628259996127,11
share,user_7,4,/scratch/user_7,0.15450679599962314,11
share,user_1,1,/scratch/user_1,0.1272902660020918,11
share,user_9,3,/scratch/user_9,0.11123054999916349,11
share,user_25,11,/scratch/user_25,0.12439012500180979,10
share,user_63,1,/scratch/user_63,0.13426026399974944,10
share,user_10,13,/scratch/user_10,0.1421788089974143,10
share,user_61,12,/scratch/user_61,0.1556332600011956,10
share,user_5,12,/scratch/user_5,0.1384439539979212,10
share,user_2,16,/scratch/user_2,0.13927729300121428,9
share,user_8,8,/scratch/user_8,0.14763950699853012,9
share,user_6,16,/scratch/user_6,0.13687127900266205,9
share,user_19,15,/scratch/user_19,0.12277665700094076,8
share,user_3,6,/scratch/user_3,0.1298816140006238,8
share,user_4,7,/scratch/user_4,0.13119528800234548,8
share,user_88,4,/scratch/user_88,0.13953658500031452,8
share,user_27,10,/scratch/user_27,0.14517678400079603,8
share,user_41,14,/scratch/user_41,0.130777536000096,7
share,user_7,12,/scratch/user_7,0.15541742500136024,7
share,user_1,9,/scratch/user_1,0.12915690099907806,7
share,user_9,5,/scratch/user_9,0.13378280300094048,7
share,user_25,2,/scratch/user_25,0.13438022199989064,7
share,user_63,5,/scratch/user_63,0.14447744700009935,7
share,user_10,5,/scratch/user_10,0.13159262300177943,8
share,user_61,8,/scratch/user_61,0.1394173340013367,8
share,user_5,15,/scratch/user_5,0.12429999799860525,8
share,user_8,14,/scratch/user_8,0.1431719800020801,8
share,user_19,2,/scratch/user_19,0.1259777990017028,8
share,user_3,8,/scratch/user_3,0.15681843199854484,8
share,user_4,2,/scratch/user_4,0.1392862079992483,8
share,user_88,11,/scratch/user_88,0.13552243700178224,8
share,user_27,13,/scratch/user_27,0.13710002899824758,7
share,user_41,10,/scratch/user_41,0.14522678399953293,7
share,user_7,10,/scratch/user_7,0.12882031600020127,7
share,user_1,5,/scratch/user_1,0.1265602610001224,7
share,user_25,4,/scratch/user_25,0.12460420799834537,7
share,user_63,12,/scratch/user_63,0.14209051600118983,6
share,user_10,13,/scratch/user_10,0.14201543200033484,7
share,user_61,10,/scratch/user_61,0.14503253200018662,7
