operation,from_user,to_users_count,resource,latency,num_contexts
unshare,user_18,1,/scratch/user_18,0.11203176799972425,52
unshare,user_70,28,/scratch/user_70,0.33383433800190687,52
unshare,user_44,1,/scratch/user_44,0.06665900100051658,52
unshare,user_9,1,/scratch/user_9,0.17832176700176205,52
unshare,user_30,1,/scratch/user_30,0.22339740800089203,52
unshare,user_49,15,/scratch/user_49,0.11753178499930073,52
unshare,user_7,2,/scratch/user_7,0.07299089499792899,52
unshare,user_1,2,/scratch/user_1,0.18799013099851436,52
unshare,user_36,3,/scratch/user_36,0.18797921300210874,52
unshare,user_96,26,/scratch/user_96,0.40315070600263425,51
unshare,user_4,2,/scratch/user_4,0.31283388500014553,51
unshare,user_98,13,/scratch/user_98,0.3298141029990802,51
unshare,user_68,2,/scratch/user_68,0.28393654500177945,51
unshare,user_87,1,/scratch/user_87,0.26805941100246855,51
unshare,user_89,4,/scratch/user_89,0.34691548900082125,51
unshare,user_60,11,/scratch/user_60,0.3576847299991641,51
unshare,user_31,10,/scratch/user_31,0.2725697990026674,51
unshare,user_82,14,/scratch/user_82,0.2559682060018531,51
unshare,user_85,11,/scratch/user_85,0.24584042499918723,51
unshare,user_70,1,/scratch/user_70,0.1804728899987822,51
unshare,user_30,1,/scratch/user_30,0.20171357999788597,51
unshare,user_1,5,/scratch/user_1,0.2091839370004891,51
unshare,user_36,8,/scratch/user_36,0.1969008150008449,51
unshare,user_88,3,/scratch/user_88,0.06990571499773068,51
unshare,user_66,5,/scratch/user_66,0.07739107199813589,51
unshare,user_96,10,/scratch/user_96,0.2549699459996191,49
unshare,user_99,1,/scratch/user_99,0.27054032600062783,49
unshare,user_4,1,/scratch/user_4,0.30762293900261284,49
unshare,user_52,12,/scratch/user_52,0.30402442799822893,49
unshare,user_92,9,/scratch/user_92,0.39224544600074296,49
unshare,user_98,3,/scratch/user_98,0.2692081130007864,49
unshare,user_68,2,/scratch/user_68,0.2900593429985747,49
unshare,user_60,3,/scratch/user_60,0.3345743110003241,49
unshare,user_31,3,/scratch/user_31,0.24323024099794566,49
unshare,user_29,3,/scratch/user_29,0.17371307100256672,49
unshare,user_100,29,/scratch/user_100,0.2820769419995486,49
unshare,user_82,7,/scratch/user_82,0.2005651109975588,49
unshare,user_70,2,/scratch/user_70,0.17590624400327215,49
unshare,user_30,4,/scratch/user_30,0.21439702700081398,49
unshare,user_49,8,/scratch/user_49,0.10140572599993902,49
unshare,user_7,18,/scratch/user_7,0.23876818500139052,49
unshare,user_1,2,/scratch/user_1,0.17925591999664903,49
unshare,user_36,1,/scratch/user_36,0.15994252799646347,49
unshare,user_66,13,/scratch/user_66,0.12564479899810976,49
unshare,user_99,6,/scratch/user_99,0.16795692699815845,49
unshare,user_52,1,/scratch/user_52,0.19480892600040534,49
unshare,user_92,8,/scratch/user_92,0.19315458699929877,49
unshare,user_98,2,/scratch/user_98,0.15075587499813992,49
unshare,user_72,7,/scratch/user_72,0.23358954299692414,49
unshare,user_68,3,/scratch/user_68,0.173965527999826,49
unshare,user_87,17,/scratch/user_87,0.24561374499899102,49
unshare,user_89,3,/scratch/user_89,0.2003592330001993,49
unshare,user_26,2,/scratch/user_26,0.19453713199982303,49
unshare,user_60,1,/scratch/user_60,0.17907212600039202,49
unshare,user_31,1,/scratch/user_31,0.17396019399893703,49
unshare,user_23,23,/scratch/user_23,0.35912583800018183,49
unshare,user_29,17,/scratch/user_29,0.24566070299988496,49
unshare,user_62,21,/scratch/user_62,0.27266503400096553,49
unshare,user_82,9,/scratch/user_82,0.19632772000113619,49
unshare,user_40,25,/scratch/user_40,0.26928306499758037,49
unshare,user_85,4,/scratch/user_85,0.1891779059988039,49
unshare,user_70,19,/scratch/user_70,0.28092130799996085,49
unshare,user_71,21,/scratch/user_71,0.2711551939974015,49
unshare,user_78,24,/scratch/user_78,0.28348789799929364,49
unshare,user_49,3,/scratch/user_49,0.07132675699904212,49
unshare,user_7,5,/scratch/user_7,0.17772916299873032,49
unshare,user_1,1,/scratch/user_1,0.1724920619999466,49
unshare,user_36,1,/scratch/user_36,0.1782463720010128,49
unshare,user_88,26,/scratch/user_88,0.17962000099942088,49
unshare,user_52,30,/scratch/user_52,0.40524846100015566,48
unshare,user_92,4,/scratch/user_92,0.2986334339984751,48
unshare,user_72,11,/scratch/user_72,0.35977920000004815,48
unshare,user_68,1,/scratch/user_68,0.29121011899769655,48
unshare,user_87,4,/scratch/user_87,0.34831916500115767,48
unshare,user_89,10,/scratch/user_89,0.3329169520002324,48
unshare,user_26,14,/scratch/user_26,0.36069811699780985,48
unshare,user_31,30,/scratch/user_31,0.2829395110020414,48
unshare,user_23,10,/scratch/user_23,0.25153841599967564,48
unshare,user_29,9,/scratch/user_29,0.19648458500159904,48
unshare,user_62,17,/scratch/user_62,0.25059337099810364,48
unshare,user_100,18,/scratch/user_100,0.2246810020005796,48
unshare,user_82,8,/scratch/user_82,0.14189133900072193,47
unshare,user_70,2,/scratch/user_70,0.18412388200158603,47
unshare,user_78,1,/scratch/user_78,0.18038653699841234,47
unshare,user_51,29,/scratch/user_51,0.3050983659995836,47
unshare,user_7,3,/scratch/user_7,0.16140710599938757,47
unshare,user_36,1,/scratch/user_36,0.1638828619979904,47
unshare,user_88,1,/scratch/user_88,0.07548793299793033,47
unshare,user_66,2,/scratch/user_66,0.19430274499973166,47
unshare,user_52,3,/scratch/user_52,0.30576344700239133,46
unshare,user_92,10,/scratch/user_92,0.3442001020011958,46
unshare,user_98,14,/scratch/user_98,0.33774749800068093,46
unshare,user_72,4,/scratch/user_72,0.19140439900002093,46
unshare,user_87,4,/scratch/user_87,0.19856112900015432,46
unshare,user_31,4,/scratch/user_31,0.1909970640008396,46
unshare,user_23,18,/scratch/user_23,0.25867843099695165,46
unshare,user_62,10,/scratch/user_62,0.2092624929973681,46
unshare,user_100,8,/scratch/user_100,0.20239722300175345,46
unshare,user_40,3,/scratch/user_40,0.2063134420022834,46
unshare,user_2,2,/scratch/user_2,0.20259847300258116,46
unshare,user_70,2,/scratch/user_70,0.18793472200195538,46
unshare,user_78,2,/scratch/user_78,0.16666549199726433,46
unshare,user_42,5,/scratch/user_42,0.18850401400050032,46
unshare,user_66,1,/scratch/user_66,0.18864547300108825,46
unshare,user_52,9,/scratch/user_52,0.32190502699813806,44
unshare,user_92,5,/scratch/user_92,0.29375006899863365,44
unshare,user_98,1,/scratch/user_98,0.24899977200038848,44
unshare,user_72,18,/scratch/user_72,0.24578609500167659,44
unshare,user_87,1,/scratch/user_87,0.18044486199869425,44
unshare,user_89,1,/scratch/user_89,0.1664269869979762,44
unshare,user_26,2,/scratch/user_26,0.18675200500001665,44
unshare,user_31,1,/scratch/user_31,0.10975790500015137,43
unshare,user_23,3,/scratch/user_23,0.18180340799881378,43
unshare,user_29,1,/scratch/user_29,0.1692757029995846,43
unshare,user_62,29,/scratch/user_62,0.29301277400008985,43
unshare,user_58,8,/scratch/user_58,0.20793356699869037,43
unshare,user_40,1,/scratch/user_40,0.15983459199924255,43
unshare,user_2,20,/scratch/user_2,0.23500739500013879,43
unshare,user_70,1,/scratch/user_70,0.1641481049991853,43
unshare,user_71,1,/scratch/user_71,0.16350218699881225,43
unshare,user_51,6,/scratch/user_51,0.15967088300021715,43
unshare,user_9,6,/scratch/user_9,0.22242719100177055,43
unshare,user_42,2,/scratch/user_42,0.17192583499854663,43
unshare,user_96,2,/scratch/user_96,0.2543579019984463,43
unshare,user_4,12,/scratch/user_4,0.3449331629999506,43
unshare,user_92,11,/scratch/user_92,0.28922408599828486,43
unshare,user_72,3,/scratch/user_72,0.31083035600022413,43
unshare,user_89,1,/scratch/user_89,0.1951713970011042,43
unshare,user_26,2,/scratch/user_26,0.1885779200019897,43
unshare,user_29,1,/scratch/user_29,0.1515210199977446,43
unshare,user_62,2,/scratch/user_62,0.16920798800128978,43
unshare,user_58,1,/scratch/user_58,0.18089639699974214,43
unshare,user_2,1,/scratch/user_2,0.1711802860008902,43
unshare,user_71,1,/scratch/user_71,0.14997639099965454,43
unshare,user_44,23,/scratch/user_44,0.23786639399986598,43
unshare,user_36,11,/scratch/user_36,0.19137005200173007,43
unshare,user_96,1,/scratch/user_96,0.271500406000996,42
unshare,user_4,1,/scratch/user_4,0.22685052700035158,42
unshare,user_52,4,/scratch/user_52,0.1776238860002195,42
unshare,user_87,12,/scratch/user_87,0.21529461899990565,42
unshare,user_89,5,/scratch/user_89,0.16459001500334125,42
unshare,user_26,2,/scratch/user_26,0.17343112399976235,42
unshare,user_29,1,/scratch/user_29,0.16676443799951812,42
unshare,user_62,10,/scratch/user_62,0.21092127299925778,42
unshare,user_100,4,/scratch/user_100,0.15716441000040504,42
unshare,user_40,17,/scratch/user_40,0.22228513899972313,42
unshare,user_71,1,/scratch/user_71,0.1714938670011179,42
unshare,user_44,1,/scratch/user_44,0.15197726999758743,42
unshare,user_9,23,/scratch/user_9,0.24332740699901478,42
unshare,user_36,11,/scratch/user_36,0.1959742289982387,42
unshare,user_96,1,/scratch/user_96,0.2073348010017071,40
unshare,user_69,1,/scratch/user_69,0.26984435499980464,40
unshare,user_4,3,/scratch/user_4,0.20089520000328775,40
unshare,user_92,1,/scratch/user_92,0.1425254070018127,40
unshare,user_87,3,/scratch/user_87,0.11885154800256714,39
unshare,user_62,9,/scratch/user_62,0.2167425359984918,39
unshare,user_40,1,/scratch/user_40,0.18066801600070903,40
unshare,user_85,7,/scratch/user_85,0.19552076699983445,40
unshare,user_9,4,/scratch/user_9,0.1884381219970237,41
unshare,user_7,10,/scratch/user_7,0.18578219699702458,42
unshare,user_36,1,/scratch/user_36,0.15331739599787397,42
unshare,user_66,29,/scratch/user_66,0.2671245120000094,42
unshare,user_69,1,/scratch/user_69,0.35603559399896767,41
unshare,user_68,3,/scratch/user_68,0.24194843499935814,41
unshare,user_16,2,/scratch/user_16,0.2209779590011749,41
unshare,user_89,1,/scratch/user_89,0.16644055500000832,41
unshare,user_60,3,/scratch/user_60,0.17938288300138083,41
unshare,user_62,4,/scratch/user_62,0.2002780669972708,41
unshare,user_100,7,/scratch/user_100,0.1757661650008231,41
unshare,user_82,3,/scratch/user_82,0.18434764699850348,41
unshare,user_85,19,/scratch/user_85,0.22811318800086156,41
unshare,user_9,2,/scratch/user_9,0.17265819699969143,41
unshare,user_7,9,/scratch/user_7,0.19359708999763825,41
unshare,user_66,2,/scratch/user_66,0.15704327799903695,41
unshare,user_52,8,/scratch/user_52,0.2156901519992971,41
unshare,user_72,24,/scratch/user_72,0.2540758020004432,41
unshare,user_16,1,/scratch/user_16,0.1994750230005593,41
unshare,user_60,29,/scratch/user_60,0.281922587997542,41
unshare,user_100,21,/scratch/user_100,0.23773925500063342,41
unshare,user_82,2,/scratch/user_82,0.15374672599864425,41
unshare,user_40,1,/scratch/user_40,0.17889029700018,41
unshare,user_85,1,/scratch/user_85,0.163995546001388,41
unshare,user_18,11,/scratch/user_18,0.21570148400132894,41
unshare,user_9,1,/scratch/user_9,0.17113185800189967,41
unshare,user_7,3,/scratch/user_7,0.16238454199992702,41
unshare,user_36,3,/scratch/user_36,0.16754418200071086,41
